"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
2.589722000E-1,3.054323897E-4,-9.010255337E-3,-1.832594397E-3
2.610974080E-1,3.970621154E-3,-2.244928107E-2,-1.832594397E-3
2.632226170E-1,5.192350596E-3,-2.000582218E-2,-3.054323839E-3
2.653478250E-1,3.970621154E-3,-1.511890348E-2,-3.054323839E-3
2.674730330E-1,6.414080039E-3,-1.679878100E-3,-6.108647794E-4
2.695982420E-1,3.970621154E-3,9.315688163E-3,6.108647794E-4
2.717234500E-1,1.527161920E-3,5.650499370E-3,-6.108647794E-4
2.738486580E-1,3.970621154E-3,5.650499370E-3,-1.832594397E-3
2.759738670E-1,3.970621154E-3,5.650499370E-3,-6.108647794E-4
2.780990750E-1,-9.162971983E-4,4.428769462E-3,-1.832594397E-3
2.802242830E-1,-2.138026757E-3,4.428769462E-3,-6.108647794E-4
2.823494920E-1,3.054323897E-4,6.872228812E-3,6.108647794E-4
2.844747000E-1,2.748891478E-3,4.428769462E-3,6.108647794E-4
2.865999080E-1,2.748891478E-3,-9.010255337E-3,-1.832594397E-3
2.887251170E-1,3.970621154E-3,-7.788525894E-3,-4.276053514E-3
2.908503250E-1,1.527161920E-3,5.650499370E-3,-6.108647794E-4
2.929755330E-1,3.054323897E-4,1.175914705E-2,-6.108647794E-4
2.951007420E-1,1.527161920E-3,4.428769462E-3,6.108647794E-4
2.972258980E-1,5.192350596E-3,3.207040019E-3,4.276053514E-3
2.993511060E-1,3.054323897E-4,-5.345067009E-3,4.276053514E-3
3.014763150E-1,-9.162971983E-4,-1.511890348E-2,6.108647794E-4
3.036015230E-1,3.054323897E-4,-2.244928107E-2,1.832594397E-3
3.057267310E-1,-4.581485875E-3,-1.756236330E-2,3.054323839E-3
3.078519400E-1,-8.246674202E-3,-6.566796452E-3,1.832594397E-3
3.099771480E-1,-9.468403645E-3,7.635809598E-4,5.497782957E-3
3.121023560E-1,-9.468403645E-3,1.985310577E-3,1.832594397E-3
3.142275650E-1,-9.468403645E-3,-1.679878100E-3,1.832594397E-3
3.163527730E-1,-9.468403645E-3,-1.511890348E-2,-1.832594397E-3
3.184779810E-1,-7.024944760E-3,-2.611446939E-2,-1.832594397E-3
3.206031900E-1,-3.359756200E-3,-2.000582218E-2,6.108647794E-4
3.227283980E-1,-3.359756200E-3,-1.389717404E-2,1.832594397E-3
3.248536060E-1,-4.581485875E-3,-1.267544460E-2,6.108647794E-4
3.269788150E-1,-2.138026757E-3,-2.901607659E-3,1.832594397E-3
3.291040230E-1,-7.024944760E-3,8.093958721E-3,1.832594397E-3
3.312292310E-1,-9.468403645E-3,1.298087649E-2,-3.054323839E-3
3.333544400E-1,-4.581485875E-3,1.053741761E-2,-3.054323839E-3
3.354796480E-1,-2.138026757E-3,-1.679878100E-3,1.832594397E-3
3.376048560E-1,-3.359756200E-3,-1.878409274E-2,6.108647794E-4
3.397300650E-1,-2.138026757E-3,-3.222311661E-2,6.108647794E-4
3.418552730E-1,-9.162971983E-4,-3.344484791E-2,-6.108647794E-4
3.439804810E-1,-9.162971983E-4,-2.000582218E-2,-1.832594397E-3
3.461056900E-1,-2.138026757E-3,-5.345067009E-3,-6.108647794E-4
3.482308980E-1,-9.162971983E-4,1.420260593E-2,-6.108647794E-4
3.503561060E-1,-2.138026757E-3,2.519817278E-2,6.108647794E-4
3.524813150E-1,-9.162971983E-4,1.786779426E-2,6.108647794E-4
3.546065230E-1,3.970621154E-3,-4.581485991E-4,6.108647794E-4
3.567317310E-1,7.635809947E-3,-5.345067009E-3,6.108647794E-4
3.588569400E-1,3.970621154E-3,-1.679878100E-3,3.054323839E-3
3.609821480E-1,1.527161920E-3,-6.566796452E-3,1.832594397E-3
3.631073040E-1,1.527161920E-3,-9.010255337E-3,1.832594397E-3
3.652325130E-1,-9.162971983E-4,-1.511890348E-2,3.054323839E-3
3.673577210E-1,-4.581485875E-3,-1.511890348E-2,6.108647794E-4
3.694829290E-1,-7.024944760E-3,-1.511890348E-2,-1.832594397E-3
3.716081380E-1,-5.803215317E-3,-9.010255337E-3,-1.832594397E-3
3.737333460E-1,-5.803215317E-3,-7.788525894E-3,6.108647794E-4
3.758585540E-1,-7.024944760E-3,-1.634063199E-2,1.832594397E-3
3.779837630E-1,-4.581485875E-3,-2.367101051E-2,6.108647794E-4
3.801089710E-1,-3.359756200E-3,-2.244928107E-2,-3.054323839E-3
3.822341790E-1,-4.581485875E-3,-1.389717404E-2,-4.276053514E-3
3.843593880E-1,-3.359756200E-3,7.635809598E-4,-1.832594397E-3
3.864845960E-1,-2.138026757E-3,1.175914705E-2,6.108647794E-4
3.886098040E-1,-2.138026757E-3,8.093958721E-3,1.832594397E-3
3.907350130E-1,-9.162971983E-4,-7.788525894E-3,-1.832594397E-3
3.928602210E-1,2.748891478E-3,-2.489273995E-2,6.108647794E-4
3.949854290E-1,1.527161920E-3,-2.611446939E-2,-6.108647794E-4
3.971106380E-1,-4.581485875E-3,-1.634063199E-2,-4.276053514E-3
3.992358460E-1,-5.803215317E-3,1.985310577E-3,-4.276053514E-3
4.013610540E-1,-4.581485875E-3,1.908952370E-2,-6.108647794E-4
4.034862630E-1,-7.024944760E-3,2.153298259E-2,-1.832594397E-3
4.056114710E-1,-4.581485875E-3,8.093958721E-3,-3.054323839E-3
4.077366790E-1,-2.138026757E-3,4.428769462E-3,-4.276053514E-3
4.098618880E-1,-4.581485875E-3,1.420260593E-2,-4.276053514E-3
4.119870960E-1,-5.803215317E-3,1.542433538E-2,-6.719512399E-3
4.141123040E-1,-3.359756200E-3,1.298087649E-2,-3.054323839E-3
4.162375130E-1,-2.138026757E-3,1.175914705E-2,1.832594397E-3
4.183626690E-1,-4.581485875E-3,-2.901607659E-3,-6.108647794E-4
4.204878770E-1,-2.138026757E-3,-1.756236330E-2,-1.832594397E-3
4.226130860E-1,1.527161920E-3,-2.855792828E-2,-6.108647794E-4
4.247382940E-1,-8.246674202E-3,-2.855792828E-2,-1.832594397E-3
4.268635020E-1,-8.246674202E-3,-1.145371422E-2,-6.108647794E-4
4.289887110E-1,-8.246674202E-3,4.428769462E-3,6.108647794E-4
4.311139190E-1,-9.468403645E-3,1.420260593E-2,1.832594397E-3
4.332391270E-1,-7.024944760E-3,-4.581485991E-4,-6.108647794E-4
4.353643360E-1,-4.581485875E-3,-1.878409274E-2,-4.276053514E-3
4.374895440E-1,-9.162971983E-4,-2.855792828E-2,-4.276053514E-3
4.396147520E-1,-2.138026757E-3,-1.756236330E-2,-3.054323839E-3
