"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
3.103951690E-1,1.914258115E-2,5.407779217E-1,9.781859398E0
3.125203770E-1,-4.067798555E-1,5.407779217E-1,9.743574142E0
3.146455860E-1,-5.168496966E-1,5.216353536E-1,9.757930756E0
3.167707940E-1,-3.445664644E-1,3.349951804E-1,9.992427826E0
3.188960020E-1,-6.699903309E-2,-3.349951655E-2,1.020778179E1
3.210212110E-1,1.722832322E-1,-8.135596663E-2,1.021256733E1
3.231464190E-1,9.571290761E-2,-1.148554832E-1,1.035135078E1
3.252716270E-1,-1.531406492E-1,4.785645287E-3,1.041356373E1
3.273968360E-1,-3.110669553E-1,5.599204898E-1,1.007856941E1
3.295220440E-1,-3.876372576E-1,8.757730722E-1,9.853643417E0
3.316472520E-1,-2.871387303E-1,6.125625968E-1,9.786644936E0
3.337724610E-1,-7.657032460E-2,6.364908218E-1,9.461220741E0
3.358976690E-1,8.614161611E-2,8.566305041E-1,9.370293617E0
3.380228770E-1,-8.614161611E-2,7.944171429E-1,9.729216576E0
3.401480860E-1,-3.397808075E-1,6.125625968E-1,1.015513897E1
3.422732940E-1,-5.886343718E-1,4.546363056E-1,1.042792130E1
3.443985020E-1,-3.637090325E-1,2.919243574E-1,1.057627583E1
3.465237110E-1,-8.614161611E-2,3.349951655E-2,1.063370419E1
3.486489190E-1,-1.435693540E-2,-1.052841991E-1,1.038485050E1
3.507741270E-1,-6.221338734E-2,-2.105683982E-1,1.007856941E1
3.528993360E-1,-1.531406492E-1,-2.727817893E-1,9.954142570E0
3.550245440E-1,-2.105683982E-1,-1.818545163E-1,9.810572624E0
3.571497520E-1,-3.349951655E-2,2.584248483E-1,9.518648148E0
3.592749610E-1,1.579262912E-1,6.125625968E-1,9.442078590E0
3.614001690E-1,2.249253243E-1,6.077769399E-1,9.518648148E0
3.635253250E-1,2.775674164E-1,7.322037220E-1,9.360722542E0
3.656505330E-1,1.244267747E-1,1.000199914E0,9.336793900E0
3.677757420E-1,-9.571290761E-2,9.667003751E-1,9.561718941E0
3.699009500E-1,-2.488535494E-1,6.029912829E-1,9.743574142E0
3.720261580E-1,-2.344966233E-1,4.067798555E-1,9.724431038E0
3.741513670E-1,-1.962114573E-1,3.637090325E-1,9.738788605E0
3.762765750E-1,-1.148554832E-1,4.163511395E-1,9.949356079E0
3.784017830E-1,-2.679961324E-1,3.445664644E-1,1.021256733E1
3.805269920E-1,-3.972085714E-1,2.440679073E-1,1.029392338E1
3.826522000E-1,-3.684946895E-1,-1.052841991E-1,1.040877819E1
3.847774080E-1,-3.541377485E-1,-1.722832322E-1,1.021735287E1
3.869026170E-1,-1.387837082E-1,3.684946895E-1,9.767501831E0
3.890278250E-1,-1.627119333E-1,6.652047038E-1,9.719645500E0
3.911530330E-1,-1.962114573E-1,6.412764788E-1,9.844072342E0
3.932782420E-1,-3.206382394E-1,7.322037220E-1,9.882357597E0
3.954034500E-1,-1.914258152E-1,8.662018180E-1,1.004028416E1
3.975286580E-1,-1.531406492E-1,5.886343718E-1,1.028913784E1
3.996538670E-1,-1.052841991E-1,1.579262912E-1,1.032263660E1
4.017790750E-1,-2.584248483E-1,1.627119333E-1,1.009292603E1
4.039042830E-1,-2.919243574E-1,3.302095234E-1,1.003071213E1
4.060294920E-1,-4.019941986E-1,2.297109663E-1,1.015035343E1
4.081547000E-1,-3.972085714E-1,1.531406492E-1,1.002114105E1
4.102799080E-1,-4.785645287E-3,1.148554832E-1,9.877572060E0
