"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
4.817996950E-1,-7.635809598E-4,-3.054323839E-3,5.039634649E-3
4.839247990E-1,-1.985310577E-3,1.832594397E-3,8.704823442E-3
4.860499040E-1,-4.428769462E-3,1.832594397E-3,5.039634649E-3
4.881750080E-1,1.679878100E-3,-6.108647794E-4,7.483093534E-3
4.903001120E-1,4.123337101E-3,-6.108647794E-4,7.483093534E-3
4.924252680E-1,5.345067009E-3,-1.771507785E-2,1.527161949E-4
4.945503200E-1,4.581485991E-4,-6.719512399E-3,5.039634649E-3
4.966754770E-1,4.581485991E-4,-3.054323839E-3,2.596175298E-3
4.988005810E-1,4.123337101E-3,-6.108647794E-4,6.261364091E-3
5.009256850E-1,4.123337101E-3,-4.276053514E-3,6.261364091E-3
5.030507890E-1,-1.053741761E-2,1.160643063E-2,5.039634649E-3
5.051758930E-1,-2.031125315E-2,1.893680729E-2,3.817904973E-3
5.073009970E-1,-9.315688163E-3,9.162971750E-3,9.926552884E-3
5.094261540E-1,4.123337101E-3,-6.719512399E-3,7.483093534E-3
5.115512580E-1,1.145371422E-2,-2.260199748E-2,6.261364091E-3
5.136763620E-1,6.566796452E-3,-1.893680729E-2,7.483093534E-3
5.158014660E-1,4.581485991E-4,-7.941242307E-3,7.483093534E-3
5.179265700E-1,-3.207040019E-3,1.832594397E-3,8.704823442E-3
5.200516740E-1,-8.093958721E-3,-6.108647794E-4,9.926552884E-3
5.221768310E-1,-1.053741761E-2,4.276053514E-3,8.704823442E-3
5.243019350E-1,-1.985310577E-3,3.054323839E-3,9.926552884E-3
5.264270390E-1,6.566796452E-3,-5.497782957E-3,1.114828233E-2
5.285521430E-1,9.010255337E-3,-1.160643063E-2,7.483093534E-3
5.306772470E-1,5.345067009E-3,-1.038470119E-2,6.261364091E-3
5.328023520E-1,4.581485991E-4,-6.108647794E-4,8.704823442E-3
5.349275080E-1,-7.635809598E-4,-6.108647794E-4,8.704823442E-3
5.370526120E-1,4.581485991E-4,-1.282816008E-2,7.483093534E-3
5.391777160E-1,-4.428769462E-3,-5.497782957E-3,8.704823442E-3
5.413028200E-1,-1.542433538E-2,1.038470119E-2,7.483093534E-3
5.434279240E-1,-1.786779426E-2,7.941242307E-3,8.704823442E-3
5.455530290E-1,-6.872228812E-3,1.832594397E-3,1.237001177E-2
5.476781330E-1,-7.635809598E-4,-1.038470119E-2,8.704823442E-3
5.498032890E-1,-3.207040019E-3,-1.771507785E-2,7.483093534E-3
5.519283930E-1,-6.872228812E-3,-7.941242307E-3,7.483093534E-3
5.540534970E-1,-1.542433538E-2,1.160643063E-2,1.114828233E-2
5.561786020E-1,-1.542433538E-2,5.497782957E-3,5.039634649E-3
5.583037060E-1,-1.542433538E-2,9.162971750E-3,9.926552884E-3
5.604288100E-1,-1.298087649E-2,1.771507785E-2,1.237001177E-2
5.625539140E-1,-9.315688163E-3,1.038470119E-2,1.237001177E-2
5.646790700E-1,-1.175914705E-2,7.941242307E-3,9.926552884E-3
5.668041740E-1,-8.093958721E-3,-3.054323839E-3,6.261364091E-3
5.689292790E-1,-4.428769462E-3,-1.893680729E-2,3.817904973E-3
5.710543830E-1,-9.315688163E-3,-5.497782957E-3,5.039634649E-3
5.731794870E-1,-1.053741761E-2,1.832594397E-3,6.261364091E-3
5.753045910E-1,-9.315688163E-3,-1.832594397E-3,5.039634649E-3
5.774297470E-1,-1.786779426E-2,1.160643063E-2,6.261364091E-3
5.795548520E-1,-2.153298259E-2,2.138026804E-2,6.261364091E-3
5.816799560E-1,-1.664606482E-2,1.160643063E-2,9.926552884E-3
5.838050600E-1,-5.650499370E-3,-5.497782957E-3,8.704823442E-3
5.859301640E-1,-4.428769462E-3,-2.015853859E-2,8.704823442E-3
5.880552680E-1,-1.175914705E-2,-1.649334840E-2,9.926552884E-3
5.901804240E-1,-2.031125315E-2,6.108647794E-4,6.261364091E-3
5.923055290E-1,-2.153298259E-2,-6.108647794E-4,7.483093534E-3
5.944306330E-1,-1.664606482E-2,-7.941242307E-3,1.114828233E-2
5.965557370E-1,-2.275471389E-2,6.719512399E-3,9.926552884E-3
5.986808410E-1,-2.764163166E-2,1.282816008E-2,9.926552884E-3
6.008059450E-1,-1.786779426E-2,9.162971750E-3,1.237001177E-2
6.029310490E-1,-8.093958721E-3,6.108647794E-4,7.483093534E-3
6.050562060E-1,-1.053741761E-2,-4.276053514E-3,5.039634649E-3
6.071813100E-1,-1.664606482E-2,4.276053514E-3,7.483093534E-3
6.093064140E-1,-1.786779426E-2,1.282816008E-2,9.926552884E-3
6.114315180E-1,-2.031125315E-2,1.282816008E-2,9.926552884E-3
6.135566220E-1,-2.153298259E-2,7.941242307E-3,9.926552884E-3
6.156817270E-1,-2.764163166E-2,1.527161989E-2,7.483093534E-3
6.178068830E-1,-2.764163166E-2,1.404988952E-2,8.704823442E-3
6.199319870E-1,-1.542433538E-2,6.108647794E-4,1.237001177E-2
6.220570910E-1,-8.093958721E-3,-1.038470119E-2,8.704823442E-3
6.241821950E-1,-1.298087649E-2,-1.649334840E-2,8.704823442E-3
6.263072990E-1,-1.786779426E-2,-6.108647794E-4,9.926552884E-3
6.284324040E-1,-1.908952370E-2,1.404988952E-2,9.926552884E-3
6.305575080E-1,-1.420260593E-2,6.719512399E-3,8.704823442E-3
6.326826640E-1,-1.298087649E-2,4.276053514E-3,1.114828233E-2
6.348077680E-1,-2.153298259E-2,1.771507785E-2,9.926552884E-3
6.369328720E-1,-2.641990222E-2,2.504545636E-2,1.237001177E-2
6.390579770E-1,-2.031125315E-2,1.649334840E-2,1.237001177E-2
6.411830810E-1,-1.420260593E-2,-6.108647794E-4,5.039634649E-3
6.433081850E-1,-1.053741761E-2,-1.771507785E-2,5.039634649E-3
6.454333410E-1,-1.175914705E-2,-1.282816008E-2,5.039634649E-3
6.475584450E-1,-1.542433538E-2,-1.832594397E-3,5.039634649E-3
6.496835490E-1,-1.786779426E-2,-3.054323839E-3,6.261364091E-3
6.518086540E-1,-2.275471389E-2,1.832594397E-3,8.704823442E-3
6.539337580E-1,-2.886336111E-2,1.282816008E-2,6.261364091E-3
6.560588620E-1,-2.275471389E-2,5.497782957E-3,9.926552884E-3
6.581840180E-1,-9.315688163E-3,-1.160643063E-2,9.926552884E-3
6.603091220E-1,-6.872228812E-3,-2.015853859E-2,7.483093534E-3
6.624342270E-1,-1.786779426E-2,-1.527161989E-2,8.704823442E-3
6.645593310E-1,-2.397644334E-2,6.108647794E-4,8.704823442E-3
6.666844350E-1,-2.031125315E-2,5.497782957E-3,7.483093534E-3
6.688095390E-1,-1.908952370E-2,3.054323839E-3,9.926552884E-3
6.709346430E-1,-2.153298259E-2,9.162971750E-3,7.483093534E-3
6.730597990E-1,-2.397644334E-2,1.160643063E-2,8.704823442E-3
6.751849040E-1,-1.420260593E-2,3.054323839E-3,1.114828233E-2
6.773100080E-1,-6.872228812E-3,-9.162971750E-3,5.039634649E-3
6.794351120E-1,-1.053741761E-2,-3.054323839E-3,3.817904973E-3
6.815602160E-1,-1.420260593E-2,4.276053514E-3,7.483093534E-3
6.836853200E-1,-8.093958721E-3,3.054323839E-3,7.483093534E-3
6.858104240E-1,-8.093958721E-3,6.108647794E-4,7.483093534E-3
6.879355810E-1,-1.664606482E-2,6.108647794E-4,7.483093534E-3
6.900606850E-1,-2.397644334E-2,1.527161989E-2,7.483093534E-3
6.921857890E-1,-2.641990222E-2,1.649334840E-2,6.261364091E-3
6.943108930E-1,-1.908952370E-2,-6.108647794E-4,8.704823442E-3
6.964359970E-1,-1.298087649E-2,-5.497782957E-3,7.483093534E-3
6.985611020E-1,-1.298087649E-2,-1.160643063E-2,6.261364091E-3
7.006862580E-1,-1.542433538E-2,-6.719512399E-3,6.261364091E-3
7.028113620E-1,-2.275471389E-2,3.054323839E-3,7.483093534E-3
7.049364660E-1,-2.031125315E-2,9.162971750E-3,7.483093534E-3
7.070615700E-1,-1.786779426E-2,6.719512399E-3,8.704823442E-3
7.091866740E-1,-1.420260593E-2,7.941242307E-3,8.704823442E-3
7.113117790E-1,-1.298087649E-2,1.404988952E-2,1.114828233E-2
7.134368830E-1,-8.093958721E-3,3.054323839E-3,1.237001177E-2
7.155620390E-1,-3.207040019E-3,-1.649334840E-2,7.483093534E-3
7.176871430E-1,-9.315688163E-3,-2.382372692E-2,2.596175298E-3
7.198122470E-1,-1.420260593E-2,-3.054323839E-3,7.483093534E-3
7.219373520E-1,-1.298087649E-2,-6.108647794E-4,8.704823442E-3
7.240624560E-1,-1.053741761E-2,-1.527161989E-2,5.039634649E-3
7.261875600E-1,-1.542433538E-2,-4.276053514E-3,6.261364091E-3
7.283127160E-1,-2.397644334E-2,1.160643063E-2,7.483093534E-3
7.304378200E-1,-2.397644334E-2,1.282816008E-2,9.926552884E-3
7.325629240E-1,-1.298087649E-2,-1.832594397E-3,8.704823442E-3
7.346880290E-1,1.679878100E-3,-2.260199748E-2,7.483093534E-3
7.368131330E-1,1.679878100E-3,-2.382372692E-2,8.704823442E-3
7.389382370E-1,-9.315688163E-3,-9.162971750E-3,8.704823442E-3
7.410633410E-1,-1.175914705E-2,-3.054323839E-3,7.483093534E-3
7.431884970E-1,-1.175914705E-2,-5.497782957E-3,7.483093534E-3
7.453136020E-1,-1.786779426E-2,9.162971750E-3,9.926552884E-3
7.474387060E-1,-1.908952370E-2,1.527161989E-2,1.114828233E-2
7.495638100E-1,-6.872228812E-3,-3.054323839E-3,8.704823442E-3
7.516889140E-1,1.679878100E-3,-1.404988952E-2,6.261364091E-3
7.538140180E-1,-3.207040019E-3,-5.497782957E-3,5.039634649E-3
7.559391740E-1,-1.175914705E-2,7.941242307E-3,5.039634649E-3
7.580642790E-1,-1.786779426E-2,1.893680729E-2,6.261364091E-3
7.601893830E-1,-9.315688163E-3,1.527161989E-2,7.483093534E-3
7.623144870E-1,-3.207040019E-3,3.054323839E-3,7.483093534E-3
7.644395910E-1,-1.053741761E-2,1.832594397E-3,7.483093534E-3
7.665646950E-1,-1.786779426E-2,1.282816008E-2,7.483093534E-3
7.686898520E-1,-1.420260593E-2,7.941242307E-3,9.926552884E-3
7.708149560E-1,-5.650499370E-3,-1.404988952E-2,1.114828233E-2
7.729400600E-1,-3.207040019E-3,-2.504545636E-2,8.704823442E-3
7.750651640E-1,-4.428769462E-3,-1.527161989E-2,9.926552884E-3
7.771902680E-1,-6.872228812E-3,-3.054323839E-3,9.926552884E-3
7.793153720E-1,-1.053741761E-2,-1.832594397E-3,8.704823442E-3
7.814404770E-1,-1.053741761E-2,3.054323839E-3,8.704823442E-3
7.835656330E-1,-1.175914705E-2,1.527161989E-2,1.114828233E-2
7.856907370E-1,-9.315688163E-3,1.649334840E-2,1.359174121E-2
7.878158410E-1,-4.428769462E-3,-7.941242307E-3,1.237001177E-2
7.899409450E-1,-7.635809598E-4,-2.748891525E-2,8.704823442E-3
7.920660490E-1,-8.093958721E-3,-2.015853859E-2,5.039634649E-3
7.941912060E-1,-1.175914705E-2,-1.038470119E-2,6.261364091E-3
7.963162580E-1,-1.298087649E-2,-1.160643063E-2,6.261364091E-3
7.984414140E-1,-1.298087649E-2,-6.719512399E-3,5.039634649E-3
8.005665180E-1,-1.542433538E-2,-9.162971750E-3,6.261364091E-3
8.026916220E-1,-1.542433538E-2,-7.941242307E-3,3.817904973E-3
8.048167270E-1,-6.872228812E-3,-6.719512399E-3,8.704823442E-3
8.069418310E-1,-4.428769462E-3,-1.893680729E-2,9.926552884E-3
8.090669350E-1,-6.872228812E-3,-1.771507785E-2,6.261364091E-3
