"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
3.695867270E-1,6.699903309E-2,1.095912814E0,1.047099209E1
3.717118830E-1,-1.339980662E-1,1.244267821E0,9.719645500E0
3.738369870E-1,-2.679961324E-1,9.571290612E-1,9.509077072E0
3.759620910E-1,-3.972085714E-1,1.282552958E0,9.772287369E0
3.780872470E-1,-4.307080805E-1,1.464407444E0,9.738788605E0
3.802122990E-1,1.962114573E-1,8.805587292E-1,9.896714211E0
3.823374040E-1,5.024927258E-1,8.039883971E-1,1.037527943E1
3.844625600E-1,4.594219327E-1,2.632105052E-1,1.026999474E1
3.865876640E-1,2.153540403E-1,6.364908218E-1,1.003549862E1
3.887127680E-1,-1.435693540E-2,1.335195065E0,9.992427826E0
3.908378720E-1,3.828516230E-2,1.004985452E0,9.853643417E0
3.929629770E-1,3.589234054E-1,8.039883971E-1,9.848857880E0
3.950880810E-1,7.657032460E-2,1.368694544E0,9.868000984E0
3.972131850E-1,-3.158525825E-1,1.607976794E0,9.815358162E0
3.993382890E-1,-1.531406492E-1,1.339980721E0,1.003071213E1
4.014634450E-1,-1.196411327E-1,8.422735929E-1,1.017906761E1
4.035885490E-1,-1.866401732E-1,6.987041831E-1,1.008814049E1
4.057136540E-1,3.828516304E-1,1.119840980E0,1.006421185E1
4.078387580E-1,1.435693651E-1,9.858429432E-1,1.004506969E1
4.099638620E-1,-2.632105052E-1,1.244267821E0,9.958928108E0
4.120889660E-1,-4.881358147E-1,1.177268744E0,9.872786522E0
4.142141220E-1,-7.417750359E-1,1.258624673E0,9.824930191E0
4.163392270E-1,-3.876372576E-1,1.560120344E0,9.896714211E0
4.184643310E-1,3.828516304E-1,1.258624673E0,1.013121128E1
4.205894350E-1,5.934200287E-1,1.866401732E-1,1.050449181E1
4.227145390E-1,4.402793646E-1,4.881358147E-1,1.075334454E1
4.248395910E-1,1.627119333E-1,1.100698471E0,1.044227791E1
4.269647990E-1,-9.571290761E-2,8.805587292E-1,1.000199890E1
